Address,Categories,City,Name,Postal Code,Province
8586 S Orange Blossom Trl,Fast Food,Orlando,Arby's,32809,FL
6385 Dobbin Rd,Fast food restaurants,Columbia,McDonald's,21045,MD
6241 Washington Blvd,Fast Food Restaurant,Elkridge,Burger King,21075,MD
505 S Oxford Valley Rd,Fast Food,Fairless Hills,Arby's,19030,PA
505 S Oxford Valley Rd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Fairless Hills,Arby's,19030,PA
888 E Main St,Fast Food Restaurants,Ephrata,Arby's,17522,PA
1247 Theatre Dr,Fast Food Restaurants,Ottumwa,Pizza Hut,52501,IA
470 Cummings St,Fast Food,Abingdon,Arby's,24210,VA
470 Cummings St,Fast Food Restaurants,Abingdon,Arby's,24210,VA
6308 Richmond Hwy,"Sandwich Place, Pizza Place, and Fast Food Restaurant",Alexandria,Jerry's Subs & Pizza,22306,VA
6308 Richmond Hwy,Fast Food Restaurants,Alexandria,Jerry's Subs & Pizza,22306,VA
1104 W High St,Fast Food Restaurants,Ebensburg,Fox's Pizza Den,15931,PA
285 Jamesway Rd,Fast Food Restaurants,Ebensburg,Burger King,15931,PA
4105 Peach St,Fast Food Restaurant,Erie,Arby's,16509,PA
3720 Pine Ave,"American Restaurant, Fast Food Restaurant, and Sandwich Place",Erie,Arby's,16504,PA
4868 Houston Rd,Fast Food Restaurant,Florence,Burger King,41042,KY
105 S 3rd St,Fast Food Restaurant and Burger Joint,Coopersburg,Burger King,18036,PA
1306 E Main St,Fast Food Restaurants,Clarion,Pizza Pub,16214,PA
4205 Washington Rd,Fast Food Restaurants,Canonsburg,Grande Italian Restaurant,15317,PA
453 Valley Brook Rd Ste 200,Fast Food Restaurants,Canonsburg,Pizza Hut,15317,PA
1208 W Front St,Fast Food Restaurants,Berwick,Burger King,18603,PA
4960 Library Rd,Fast Food Restaurants,Bethel Park,Pizza Hut,15102,PA
9 Hudson Hollow Rd,Fast Food Restaurant,Frankfort,Burger King,40601,KY
1110 N 90th St,Fast Food,Seattle,Pizza Hut,98103,WA
114 W Wabash Ave,Fast Food,Crawfordsville,Arni's Crawfordsville,47933,IN
1518 S Washington St,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Crawfordsville,Arby's,47933,IN
3921 S 76th St,Fast Food Restaurants,Milwaukee,Pizza Hut,53220,WI
1075 N Fairfield Rd,Fast Food Restaurants,Layton,Arctic Circle,84041,UT
1607 Elkhart Rd,Fast Food Restaurants,Goshen,Pizza Hut,46526,IN
909 Hyatt St,Fast Food Restaurants,Gaffney,Arby's,29341,SC
2460 Mountain City Hwy,Fast Food Restaurants,Elko,Burger King,89801,NV
2598 Idaho St,Fast Food Restaurants,Elko,Pizza Barn,89801,NV
313 Middle Country Rd,Fast food restaurants,Coram,McDonald's,11727,NY
9711 Fort Meade Rd,Fast Food Restaurants,Laurel,Jerry's Subs & Pizza,20707,MD
778 Brookway Blvd,Fast Food Restaurant,Brookhaven,Burger King,39601,MS
92 W Market St,Fast Food Restaurants,Corning,Rico's Pizza & Subs,14830,NY
2 Wicks Blvd,Fast Food Restaurants,Corning,B's Pizza,14830,NY
1104 Sunrise Hwy,Fast food restaurants,Amityville,Burger King,11701,NY
425 E Main St,Fast Food Restaurant,Pickens,McDonald's,29671,SC
106 Garner Rd,Fast Food,Spartanburg,McDonald's,29303,SC
2619 Brandermill Blvd,Fast Food Restaurant and Burger Joint,Gambrills,Burger King,21054,MD
613 E 4th Ave,Fast Food Restaurant,Red Springs,McDonald's,28377,NC
104 School St,Fast Food Restaurants,Glen Cove,Domino's Pizza,11542,NY
2789 Interstate Highway 20,Ice Cream Shop and Fast Food Restaurant,Van,Dairy Queen,75790,TX
2789 Interstate Highway 20,Fast Food Restaurants,Van,Dairy Queen,75790,TX
111 State Highway 239 E,Fast Food Restaurants,Tivoli,Dairy Queen,77990,TX
1301 N Dickinson Dr,Fast Food,Rusk,Dairy Queen,75785,TX
300 S Main St,Fast Food Restaurants,Borger,Dairy Queen,79007,TX
900 Highway 80,Fast Food Restaurant,San Marcos,Dairy Queen,78666,TX
849 E Commerce St,Fast Food Restaurant,San Antonio,Dairy Queen,78205,TX
2282 SE Military Dr,Ice Cream Shop and Fast Food Restaurant,San Antonio,Dairy Queen,78223,TX
2188 Great Neck Sq,Fast Food Restaurants,Virginia Beach,Hardee's,23454,VA
505 W 21st St,Fast Food Restaurants,Norfolk,Hardee's,23517,VA
5000 W Broad St,Fast Food Restaurant,Richmond,Hardee's,23230,VA
3011 Hershberger Rd NW,Fast Food Restaurant,Roanoke,Hardee's,24017,VA
850 London Blvd,Fast Food Restaurant,Portsmouth,Hardee's,23704,VA
1032 E Main St,Fast Food Restaurant,Pulaski,Hardee's,24301,VA
8405 Hampton Blvd,Fast Food Restaurants,Norfolk,Hardee's,23505,VA
430 Denbigh Blvd,Fast Food Restaurant,Newport News,Hardee's,23608,VA
3750 Candlers Mountain Rd,Fast Food Restaurant,Lynchburg,Hardee's,24502,VA
501 S Hicks St,Fast Food Restaurant,Lawrenceville,Hardee's,23868,VA
2231 Langhorne Rd,Fast Food Restaurant,Lynchburg,Hardee's,24501,VA
2310 E Overland Rd,Fast Food Restaurant,Meridian,Port of Subs,83642,ID
3635 S Rainbow Blvd,Fast Food,Las Vegas,Port of Subs,89103,NV
8552 W Lake Mead Blvd,Fast Food,Las Vegas,Port of Subs,89128,NV
9101 W Sahara Ave,Fast Food,Las Vegas,Port of Subs,89117,NV
35 Dayton Valley Rd,Fast Food Restaurants,Dayton,Port of Subs,89403,NV
45201 Schoenherr Rd,Fast Food Restaurant,Utica,Taco Bell,48315,MI
3860 S State Rd,Fast Food Restaurants,Ann Arbor,Taco Bell,48108,MI
9640 Hageman Rd,Fast Food Restaurants,Bakersfield,Taco Bell,93312,CA
6255 Central Ave,Fast Food Restaurants,Portage,Dairy Queen,46368,IN
6801 Highway 41 N,Fast Food Restaurant,Evansville,Dairy Queen,47711,IN
3826 English Ave,Ice Cream Shop and Fast Food Restaurant Christian Park,Indianapolis,Dairy Queen,46201,IN
